id,nombre,carrera_id
463,Diseño y Formulación de Modelos Prospectivos y de Investigación,13
464,Portugués I,13
465,Economía Política Internacional II,13
466,Teoría de las Relaciones Internacionales II,13
467,Sistemas Políticos Comparados,13
468,Política Exterior Argentina I,13
469,Historia de las Relaciones Internacionales Latinoamericanas,13
470,Portugués II,13
471,Derecho e Instituciones Internacionales,13
472,Agenda Internacional,13
473,Teoría Política II,13
474,Seminario de Justicia y Derechos Humanos,13
475,Política Exterior Argentina II,13
476,Módulo de Informática 11: Programa Estadístico para las Ciencias Sociales I,13
477,Seminario de Pensamiento Nacional y Latinoamericano,13
478,Módulo de Informática 12: Programa Estadístico para las Ciencias Sociales II,13
479,Procesos de Integración Americanos,13
480,Taller de Trabajo Final Integrador I,13
481,Sistemas Políticos Latinoamericanos Comparados,13
482,Prospectiva Estratégica,13
483,Política Doméstica y Externa Brasileña,13
484,Taller de Trabajo Final Integrador II,13
485,Políticas Exteriores Latinoamericanas Comparadas,13
486,Seminario Optativo I,13
487,Seminario Optativo II,13
488,Seminario Optativo III,13
489,Seminario Optativo IV,13
490,"Seminario Atlántico Sur, Malvinas y Antártida",13
491,Taller de Prácticas Pre-profesionales,13
492,Módulo de Informática 12: Programa Estadístico para las Ciencias Sociales II,13
493,Procesos de Integración Americanos,13
494,Taller de Trabajo Final Integrador I,13
495,Teoría de la Integración,13
496,Prospectiva Estratégica,13
497,Derecho de la Integración,13
498,Taller de Trabajo Final Integrador II,13
499,Economía Contemporánea Brasileña,13
500,Seminario Optativo I,13
501,Seminario Optativo II,13
502,Seminario Optativo III,13
503,Seminario Optativo IV,13
504,"Seminario Atlántico Sur, Malvinas y Antártida",13
505,Taller de Prácticas Pre-profesionales,13
506,Módulo de Informática 12: Programa Estadístico para las Ciencias Sociales II,13
507,Defensa Nacional,13
508,Taller de Trabajo Final Integrador I,13
509,Seguridad Internacional,13
510,Prospectiva Estratégica,13
511,Geopolítica y Análisis Estratégico,13
512,Taller de Trabajo Final Integrador II,13
513,Instituciones y Regímenes de la Defensa y la Seguridad Internacional,13
514,Seminario Optativo I,13
515,Seminario Optativo II,13
516,Seminario Optativo III,13
517,Seminario Optativo IV,13
518,"Seminario Atlántico Sur, Malvinas y Antártida",13
519,Taller de Prácticas Pre-profesionales,13
520,Programación de Computadoras,15
521,Organización de Computadoras,15
522,Arquitectura de Computadoras,15
523,Matemática 1,15
524,Matemática 2,15
525,Expresión de Problemas y Algoritmos,15
526,Introducción al Pensamiento Científico,15
527,Ingeniería de Software 1,15
528,Introducción a las Bases de Datos,15
529,Algoritmos y Estructuras de Datos,15
530,Orientación a Objetos 1,15
531,Seminario de Lenguajes,15
532,Introducción a los Sistemas Operativos,15
533,Matemática 3,15
534,Probabilidad y Estadística,15
535,Programación Concurrente,15
536,Ingeniería de Software 2,15
537,Orientación a Objetos 2,15
538,Sistemas y organizaciones,15
539,Bases de Datos 1,15
540,Proyecto de Software,15
541,Conceptos y Paradigmas de Lenguajes de Programación,15
542,Redes y comunicaciones,15
543,Ingeniería de Software 3,15
544,Bases de Datos 2,15
545,Fundamentos de Teoría de la Computación,15
546,Sistemas Operativos,15
547,Desarrollo de software en Sistemas Distribuidos,15
548,Matemática Discreta,15
549,"Optativa Área Arquitectura, Sistemas Operativos y Redes",15
550,Optativa Área Algoritmos y Lenguajes,15
551,Política y Gestión Tecnológicas,15
552,Aspectos Legales y Profesionales de la Informática,15
553,Nuevos Escenarios,15
554,Optativa Área Ingeniería de Software y Bases de Datos,15
555,Seminario de Trabajo Final,15
556,Matemática I,16
557,Representación gráfica,16
558,Historia del ferrocarril,16
559,Aspectos técnicos y Socioeconómicos del Ferrocarril,16
560,Matemática II,16
561,Física I,16
562,Introducción a la química,16
563,El transporte ferroviario,16
564,Tecnología ferroviaria I,16
565,Matemática III,16
566,Física II,16
567,Tecnologías de la información y de las comunicaciones,16
568,Nuevos escenarios,16
569,Tecnología ferroviaria II,16
570,Seguridad laboral y ambiental,16
571,Legislación ferroviaria,16
572,Mecánica y tecnología de los materiales,16
573,Electrónica y electromecánica,16
574,Tecnología ferroviaria III,16
575,Termodinámica y máquinas térmicas,16
576,Instalaciones eléctricas y electromecánicas,16
577,Tecnología ferroviaria IV,16
578,Tecnología ferroviaria V,16
579,Metodología de la investigación,16
580,Mecánica de los fluidos,16
581,Tecnología ferroviaria VI,16
582,"Gestión de la calidad, ensayos y mediciones",16
583,Seminario optativo,16
584,Práctica supervisada ,16
585,Centrales e instalaciones eléctricas,16
586,"Sistemas de control, automatización y señalización",16
587,Material tractivo,16
588,Seminario optativo,16
589,Material rodante,16
590,Mantenimiento y reparación en líneas electrificadas,16
591,Taller de trabajo final: Proyecto de electrificación y/o electromecánico ferroviario. Práctica preprofesional ,16
592,Estructuras ferroviarias,16
593,Ferrourbanística,16
594,Infraestructura ferroviaria I,16
595,Infraestructura ferroviaria II,16
596,Infraestructura ferroviaria III,16
597,Seminario optativo,16
598,Taller de trabajo final: proyecto de una vía férrea. Práctica preprofesional ,16
599,Introducción al turismo,19
600,Introducción a la geografía,19
601,"Estado, derecho y legislación",19
602,Principios de la economía,19
603,Organización y gestión de la empresa turística,19
604,Introducción a la matemática,19
605,"Espacios turísticos de África, Asia y Oceanía",19
606,Procesos históricos mundiales,19
607,Servicios turísticos I,19
608,Espacios turísticos de Europa,19
609,Metodología de la Investigación Social,19
610,Historia latinoamericana y argentina,19
611,Organización y gestión hotelera,19
612,Servicios turísticos II,19
613,Espacios turísticos de Amércica,19
614,Marketing,19
615,Indicadores turísticos,19
616,Historia del turismo,19
617,Taller de investigación turística,19
618,Espacios turísticos de Argentina,19
619,Análisis económico y financiero de la actividad turística,19
620,Ética profesional y responsabilidad social,19
621,Taller de formulación y evaluación de proyectos,19
622,Patrimonio histórico - cultural argentino,19
623,Marco normativo de la actividad turística,19
624,Práctica pre-profesional,19
625,Inglés I,19
626,Inglés II,19
627,Portugués I,19
628,Portugués II,19
629,"Informática: Módulo ""Gestión de reservas""",19
630,Seminario de Pensamiento Nacional y Latinoamericano,19
631,Seminario de Justicia y Derechos Humanos,19
632,Política turística,19
633,Procesos geopolíticos de integración del turismo,19
634,Diseño de productos turísticos,19
635,Comportamiento organizacional y recursos humanos,19
636,Turismo social y derecho al turismo,19
637,Emprendedorismo,19
638,Planeamiento del desarrollo turístico,19
639,Cooperación internacional,19
640,Taller de Trabajo Final Integrador,19
641,Planeamiento y gestión del destino turístico,19
642,Seminario optativo,19
643,Gobernabilidad del turismo,19
644,Seminario optativo,19
645,Práctica pre-profesional orientada al ámbito público,19
646,Inglés III,19
647,Portugués III,19
648,"Informática: ""módulo: Sistemas de Información Geográfica""",19
649,"Informática: ""Módulo: Aplicaciones móviles""",19
